"","County","RaceBias","GenderBias"
"1","Westchester","TRUE","TRUE"
"2","Sullivan","TRUE","TRUE"
"3","Manhattan","TRUE","TRUE"
"4","Bronx","TRUE","TRUE"
"5","Livingston","FALSE","TRUE"
"6","Orange","TRUE","TRUE"
"7","Rockland","TRUE","TRUE"
"8","Columbia","FALSE","TRUE"
"9","Kings","TRUE","TRUE"
"10","Nassau","TRUE","TRUE"
"11","Queens","TRUE","TRUE"
"12","Onondaga","FALSE","TRUE"
"13","Allegany","TRUE","TRUE"
"14","Erie","TRUE","TRUE"
"15","Rensselaer","FALSE","TRUE"
"16","Richmond","TRUE","TRUE"
"17","Suffolk","TRUE","TRUE"
"18","Niagara","FALSE","TRUE"
"19","Jefferson","TRUE","TRUE"
"20","Otsego","FALSE","FALSE"
"21","Schenectady","TRUE","TRUE"
"22","Monroe","TRUE","TRUE"
"23","Ontario","FALSE","TRUE"
"24","Steuben","FALSE","TRUE"
"25","Albany","TRUE","TRUE"
"26","Franklin","FALSE","TRUE"
"27","Ulster","FALSE","TRUE"
"28","Chautauqua","TRUE","TRUE"
"29","Genesee","FALSE","TRUE"
"30","Wyoming","FALSE","TRUE"
"31","Chemung","TRUE","TRUE"
"32","Wayne","TRUE","TRUE"
"33","Broome","FALSE","TRUE"
"34","Chenango","TRUE","TRUE"
"35","Lewis","FALSE","TRUE"
"36","Madison","TRUE","TRUE"
"37","Fulton","FALSE","TRUE"
"38","Montgomery","TRUE","FALSE"
"39","Dutchess","TRUE","TRUE"
"40","Putnam","FALSE","FALSE"
"41","Cattaraugus","FALSE","TRUE"
"42","Cayuga","FALSE","TRUE"
"43","Cortland","FALSE","FALSE"
"44","Oneida","TRUE","TRUE"
"45","Oswego","FALSE","TRUE"
"46","St Lawrence","FALSE","TRUE"
"47","Tompkins","TRUE","FALSE"
"48","Saratoga","FALSE","TRUE"
"49","Clinton","FALSE","TRUE"
"50","Warren","TRUE","TRUE"
