"","County","Male","Female"
"1","Westchester","100","92.52"
"2","Sullivan","100","98.15"
"3","Manhattan","100","95.93"
"4","Bronx","100","96.61"
"5","Livingston","100","53"
"6","Orange","100","91.85"
"7","Rockland","100","90.53"
"8","Columbia","100","91.71"
"9","Kings","100","95.06"
"10","Nassau","100","95.94"
"11","Queens","100","95.87"
"12","Onondaga","100","95.04"
"13","Allegany","100","91.27"
"14","Erie","100","95.17"
"15","Rensselaer","100","96.17"
"16","Richmond","100","93.87"
"17","Suffolk","100","95.67"
"18","Niagara","100","91.77"
"19","Jefferson","100","81.11"
"20","Otsego","100","0"
"21","Schenectady","100","96.54"
"22","Monroe","100","79.83"
"23","Ontario","100","87.77"
"24","Steuben","100","85.02"
"25","Albany","100","92.34"
"26","Franklin","100","75.78"
"27","Ulster","100","87.54"
"28","Chautauqua","100","69.09"
"29","Genesee","100","83.04"
"30","Wyoming","100","91.7"
"31","Chemung","100","94.56"
"32","Wayne","100","46.17"
"33","Broome","100","84.5"
"34","Chenango","100","85.67"
"35","Lewis","100","88.24"
"36","Madison","100","93.62"
"37","Fulton","100","90.54"
"38","Montgomery","100","0"
"39","Dutchess","100","96.62"
"40","Putnam","100","0"
"41","Cattaraugus","100","91.65"
"42","Cayuga","100","89.39"
"43","Cortland","100","0"
"44","Oneida","100","72.55"
"45","Oswego","100","92.63"
"46","St Lawrence","100","86.58"
"47","Tompkins","100","0"
"48","Saratoga","100","63.87"
"49","Clinton","100","59.04"
"50","Warren","100","89.74"
